cast_id,name
1,Chris Diamantopoulos
2,Tony Anselmo
3,Tress MacNeille
4,Bill Farmer
5,Russi Taylor
6,Corey Burton
7,Jim Varney
8,Noelle Parker
9,Douglas Seale
10,Raymond Albert Romano
11,John Leguizamo
12,Denis Leary
13,Queen Latifah
14,Darren Criss
15,Adam Lambert
16,Derek Hough
17,Alexander Jean
18,Fall Out Boy
19,Jimmie Allen
20,John Lennon
21,Paul McCartney
22,George Harrison
23,Ringo Starr
24,Jacques Yves Cousteau
25,Vincent Cassel
26,Jeremy Renner
27,Hailee Steinfeld
28,Vera Farmiga
29,Fra Fee
30,Tony Dalton
31,Zahn McClarnon
32,Gary Muehlberger
33,Mary Miller
34,Curly Leach
35,Sam Carlson
36,Stuart Andrews
37,David Squibb
38,Dr. Ray Ball
39,Dr. Lauren Smith
40,Chris Massaro
41,Tiffany Burns
42,Mike Burns
43,Melinda Mendolusky
44,Steve Whitmire
45,Dave Goelz
46,Bill Barretta
47,Eric Jacobson
48,Don Hahn
49,Kathryn Beaumont
50,Pete Docter
51,Kevin Feige
52,Mark Hamill
53,Bob Iger
54,uninformed cast
55,Stacy Keach
56,John Lasseter
57,Brad Bird
58,John Musker
59,Ron Clements
60,Frank Thomas
61,Dr. Michelle Oakley
62,Zachary Fine
63,Michael B. Jordan
64,Jack Dylan Grazer
65,Marco Barricelli
66,Mia Jenness
67,Alyson Hannigan
68,Rob Riggle
69,Spencer Moss
70,Dana Heath
71,Carolina Domenech
72,José Jiménez Zapiola
73,Kevsho
74,Elena Roger
75,Clara Alonso
76,Emilia Mernes
77,Amy Adams
78,Patrick Dempsey
79,James Marsden
80,Timothy Spall
81,Idina Menzel
82,Susan Sarandon
83,Stephen Apostolina
84,Kirk Baily
85,Ben Bledsoe
86,David Cowgill
87,Terri Douglas
88,Fuschia!
89,Kristen Bell
90,Jonathan Groff
91,Josh Gad
92,Santino Fontana
93,Chris Williams
94,Walt Disney
95,Marcellite Garner
96,Billy Bletcher
97,Will Ryan
98,Bob Bergen
99,Ellie Kemper
100,Rob Delaney
101,Archie Yates
102,Aisling Bea
103,Kenan Thompson
104,Tim Simons
105,Dwayne Johnson
106,Emily Blunt
107,Edgar Ramirez
108,Jack Whitehall
109,Jesse Plemons
110,Paul Giamatti
111,Chris Hemsworth
112,John Kahrs
113,Kari Wahlgren
114,Larry the Cable Guy
115,Domee Shi
116,Angus MacLane
117,Simu Liu
118,Awkwafina
119,Tony Leung
120,Michelle Yeoh
121,Meng'er Zhang
122,Ben Kingsley
123,Avantika
124,Michael Bishop
125,Anna Cathcart
126,Jahbril Cook
127,Kerri Medders
128,Aryan Simhadri
129,Mandy Moore
130,Zachary Levi
131,Alan Dale
132,Paul F. Tompkins
133,Mark Allen Stewart
134,Billy Connolly
135,Billie Eilish
136,FINNEAS
137,Gustavo Dudamel
138,Patrick Osborne
139,Robert Rodriguez
140,Kyla Pratt
141,Tommy Davidson
142,Paula Jai Parker
143,JoMarie Payton
144,Cedric the Entertainer
145,Dan Castellaneta
146,Nancy Cartwright
147,Yeardley Smith
148,Hank Azaria
149,Jason Lee
150,David Cross
151,Jenny Slate
152,Justin Long
153,Matthew Gray Gubler
154,Jesse McCartney
155,Arnold Schwarzenegger
156,Sinbad
157,Phil Hartman
158,Rita Wilson
159,Robert Conrad
160,Martin Mull
161,Brian Stepanek
162,Santino Marella
163,Kennedi Clements
164,Kirsten Robek
165,Rachel Hayward
166,Betty White
167,Dave Foley
168,Derek Richardson
169,Sarah Chalke
170,W. Morgan Sheppard
171,Christopher Lloyd
172,Danny Woodburn
173,Craig Anton
174,Michael Teigen
175,Ben Giroux
176,Paul Rae
177,Dominic Scott Kay
178,John Kapelos
179,Lise Simms
180,Mike Dopud
181,Charles C. Stevenson Jr.
182,Dylan Minnette
183,F.T. Anderson
184,Diedrich Bader
185,Field Cate
186,Kendall Cross
187,Mark Downey
188,Resse Alexander
189,Sahar Biniaz
190,Jan Boss
191,Ameko Eks Mass Carroll
192,Melody Choi
193,James McAvoy
194,Michael Fassbender
195,Rose Byrne
