director_id,director
1,"Alonso Ramirez Ramos, Dave Wasson"
2,John Cherry
3,Karen Disher
4,Hamish Hamilton
5,Uninformed Director
6,Liz Garbus
7,Kirk R. Thatcher
8,John Gleim
9,Leslie Iwerks
10,Mckenna Harris
11,Kevin Lima
12,Patrick Osborne
13,"Chris Buck, Jennifer Lee"
14,Lauren Macmullan
15,Dan Mazer
16,Jaume Collet-Serra
17,John Kahrs
18,Destin Daniel Cretton
19,Manjari Makijany
20,"Nathan Greno, Byron Howard"
21,"Stevie Wermers-Skelton, Kevin Deters"
22,Roger Allers
23,David Clair
24,David Silverman
25,Dean Wellins
26,Mike Mitchell
27,Brian Levant
28,Alex Zamm
29,"Kevin Deters, Stevie Wermers-Skelton"
30,Robert Vince
31,Matthew Vaughn
32,Niki Caro
33,Daniel Stern
34,"Don Bluth, Gary Goldman"
35,Jim Greayer
36,Ben Crichton
37,Jeff Gordon
38,Kirk Thatcher
39,Dave Hoffman
40,Cate Shortland
41,"John Hoffman, Janet Tobias"
42,Tim Hill
43,Walt Becker
44,Ken Cunningham
45,Robert Stromberg
46,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson"
47,"Jason Sterman, Leanne Dare"
48,Josh Boone
49,P.J. Hogan
50,Salvador Simó
51,Jay Hatcher
52,Katie Bauer Murdock
53,Louis Gonzales
54,Rob Marshall
55,Aphton Corbin
56,"Robert Rodriguez, Patrick Osborne"
57,Simon Kinberg
58,Craig Gillespie
59,Peter Hedges
60,Napoleon Dumo
61,Drew Pearce
62,Frederik Du Chau
63,Stefen Fangmeier
64,Tim Story
65,Bryan Singer
66,Lev L. Spiro
67,Chris Columbus
68,Mark J Davis
69,Peter Hewitt
70,Carlos Saldanha
71,Phil Stebbing
72,Kurt Mattila
73,"Barry Cook, Neil Nightingale"
74,Andy Seestedt
75,Cameron Crowe
76,Kevin Bachar
77,Michael Mayer
78,Thomas Astruc
79,Sigmund Spath Jr.
80,Mark Woodward
81,Sally Aitken
82,"Jacob Cobi Benattia, Pete Berg, James Buchanan"
83,David Mickey Evans
84,David Gelb
85,Enrico Casarosa
86,Gary Rydstrom
87,Norman Tokar
88,Adam Shankman
89,"Don Hall, Carlos López Estrada"
90,Anthony Hemingway
91,Zach A. Parrish
92,Aqsa Altaf
93,Hao Zheng
94,Ann Marie Pace
95,Stephanie Abel Horowitz
96,Jessica Mendez Siqeiros
97,Moxie Peng
98,Steve Loter
99,Brett Ratner
100,Steve Miner
101,Kevin Nolting
102,Kentaro Takayanagi
103,Fred Zinnemann
104,Patrick Read Johnson
105,Tom Jennings
106,Joe Cornish
107,Ken Olin
108,Doug Shultz
109,James Orr
110,Daniel Petrie
111,Xavier Koller
112,John Korty
113,"Jim Wheat, Ken Wheat"
114,Robert Stevenson
115,Shawn Levy
116,David Frankel
117,Scott Ressler
118,Ken Annakin
119,Kelly Asbury
120,Chris Hamilton
121,Tim Burton
122,"Cristina Costantini, Darren Foster"
123,Jeff Gipson
124,"Dereck Joubert, Beverly Joubert"
125,Lena Khan
126,Jorge R. Gutiérrez
127,Robert Iscove
128,Andy Fickman
129,Joe Nussbaum
130,Natalie Hewit
131,Harald Pokieser
132,Wes Anderson
133,Steve Purcell
134,Luc Marescot
135,"Jimmy Hayward, Steve Martino"
136,"Brandon Hill, Marc Ostrick"
137,Madeline Sharafian
138,Pete Docter
139,Michal Makarewicz
140,"Rich Moore, Phil Johnston"
141,Reginald Hudlin
142,Sharon Maguire
143,"Lasse Hallström, Joe Johnston"
144,Miguel Arteta
145,Ashley Avis
146,Angela Affinita
